eventType,comments
Stuck Pipe,npt time drilling from <number>m to <number>m  time drilling rate  <number> hrm flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg observed in last sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses
Stuck Pipe,npt time drilling from <number> m to <number> m  time drilling rate  <number> hrm flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg observed in last sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses bit rev  daily <number> krev cum krev  <number> krev
Stuck Pipe,npt time drilling from <number> m to <number> m time drilling rate  <number> hrm flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg observed in last sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses
Stuck Pipe,npt time drilling from <number> m to <number> m time drilling rate  <number> hrm flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg observed in  sample  <number> m <number>% limestone and <number>xxunitpercecement  observed in  sample  <number> m <number>% limestone and <number>xxunitpercecement  observed in  sample  <number> m <number>% limestone and <number>xxunitpercecement  no down hole losses
Stuck Pipe,npt time drilling from <number> m to <number> m time drilling rate  <number> hrm flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg observed sample  <number> m <number>% limestone and <number>xxunitpercecement observed sample  <number> m <number>% limestone and <number>xxunitpercecement observed sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses performed security drill good response by crew
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in slide mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg observed sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses when drilled to <number> m spp increased to <number> psi suddenly reduced flow rate  pu string to above kop encountered max <number> tons op continued working string up  down on pumping until  normalrotating hrs  <number> jar sn <number>h today hrs <number> hrs cum hrs <number>hrs <number> sstab sn <number>h today hrs <number> hrs cumhrs <number>hrs <number> nmdc sn sbmm<number> today hrs <number> hrs cum hrs <number>hrs <number> pony nmdc sn sbmm<number>today hrs <number> hrs cum hrs <number>hrs <number> sstab sn omm<number> today hrs <number> h cum hrs <number>hrs <number> f sub sn <number> today hrs <number> h cum hrs <number>hrs bit rev  <number> today krev cum krev  <number> rev
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in slide mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg observed sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> lovis and <number> hivis at every connection observed sample  <number> m <number>% limestone and <number>xxunitpercecement observed sample  <number> m <number>% limestone and <number>xxunitpercecement observed sample  <number> m <number>% limestone and <number>xxunitpercecement observed sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses recorded check shot md<number>m inc<number>¡ã azim <number>  scr  <number> m mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number>ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> lovis and <number> hivis at every connection observed sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses recorded mwd survey md<number>m inc<number>¡ã azim <number>
Other,serviced tds
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in slide mode flow rate <number> lpm spp <number>  <number> psi wob <number> ton downhole rpm <number>  sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> lovis and <number> hivis at every connection observed sample  <number> m <number>% limestone and <number>xxunitpercecement no down hole losses during slide at <number> m spp shoot to <number> psi observed <number> tons overpull worked on string drilled <number> m in rotary mode and backed slide mode with normal parameter at <number>m during slide drill string stuck tried to release by work no success  released by up jarring
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in slide mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> m<number> lovis and <number> m<number> hivis at every connection lithology  <number> m <number>% limestone <number>% shale no down hole losses after every <number> m drilled pu string to check drag at <number> m during slide drill string stuck tried to release by work no success  released by up jarring
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> m<number> lovis and <number> m<number> hivis at every connection pumped <number> m<number> bridging sweep in every <number> hrs no down hole losses lithology  <number> m <number>% limestone <number>% shale recorded mwd survey md <number> m inc <number>¡ã azim <number>rotating hrs  <number> jar sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> sstab sn <number>h today hrs <number> hrs cumhrs <number> hrs <number> nmdc sn sbmm<number> today hrs <number> hrs cum hrs <number> hrs <number> pony nmdc sn sbmm<number>today hrs <number> hrs cum hrs <number> hrs <number> sstab sn omm<number> today hrs <number> h cum hrs <number> hrs <number> f sub sn <number> today hrs <number> h cum hrs <number> hrs bit rev  <number> today krev cum krev  <number> rev
Stuck Pipe,npt sidetrack drilled <number> hole from <number>m to <number> m in rotary mode  top of tanuma  <number> mmd <number> mtvd flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number>mhrxxunitmwin <number> sgxxunitmwout <number> sg last sample  <number> m <number>% limestone <number>% shale pumped <number> m<number> lovis and <number> m<number> hivis at every connection pumped <number> m<number> bridging sweep in every <number> hrs no down hole losses
Stuck Pipe,npt sidetrack drilled <number> hole from <number>m to <number> m in rotary mode  top of khasib  <number> mmd <number> mtvd flow rate <number> lpm spp <number> psi wob <number>ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number>mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> m<number> lovis and <number> m<number> hivis at every connection pumped <number> m<number> bridging sweep in every <number> hrs no down hole losses recorded mwd survey md <number> m inc <number>¡ã azim <number> at last survey from plan ct ct dist  <number>m below plan  <number>m left of plan  <number>m ct  ct dist from original hole zb <number>  <number>m scr  <number> m mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in slide mode flow rate <number>  <number> lpm spp <number> psi wob <number>ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop<number> mhr ob rop <number>mhrxxunitmwin <number> sgxxunitmwout <number> sg lithology  <number> m <number>% limestone <number>% shale pumped <number> m<number> lovis and <number> m<number> hivis at every connection pumped <number> m<number> bridging sweep every <number> hrs no down hole losses after every <number> m drilled pu string to check drag recorded mwd survey md <number> m inc <number>¡ã azim <number> at last survey from plan ct ct dist  <number>m below plan  <number>m left of plan  <number>m ct  ct dist from original hole zb <number>  <number>m
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> m<number> lovis and <number> m<number> hivis at every connection pumped <number> m<number> bridging sweep every <number> hrs no down hole losses lithology   <number>% limestone <number>% shale
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in slide mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg lithology  <number> m <number>% limestone <number>% shale pumped <number> m<number> lovis and <number> m<number> hivis at every connection pumped <number> m<number> bridging sweep every <number> hrs no down hole losses after every <number> m drilled pu string to check drag performed kick drill while drilling  response time  <number> minute
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> m<number> lovis and <number> m<number> hivis at every connection pumped <number> m<number> bridging sweep in every <number> hrs no down hole losses lithology  <number> m <number>% limestone <number>% shale
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in slide mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> m<number> lovis and <number> m<number> hivis at every connection pumped <number> m<number> bridging sweep every <number> hrs no down hole losses lithology  <number> m <number>% limestone <number>% shale at <number> during pu to check string observed string stuck tried to release by work no success string released by continuous jarring
Stuck Pipe,npt sidetrack drilled <number> hole from <number>m to <number>m in rotary mode flow rate <number>lpm spp <number>psi wob <number>ton downhole rpm <number> sur rpm <number> torque <number>klbft avg rop <number>mhr ob rop <number>mhrxxunitmwin <number>sgxxunitmwout <number>sg pumped <number> lovis and <number> hivis at every connection pumped <number> bridging sweep every <number> hrs no down hole losses lithology  <number>m <number>% limestone recorded mwd survey md <number>m inc <number>¡ã azim <number> at last survey from plan ct ct dist  <number>m below plan  <number>m left of plan  <number>m ct  ct dist from original hole zb <number>  <number>mrotating hrs  <number> jar sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> sstab sn <number>h today hrs <number> hrs cumhrs <number> hrs <number> nmdc sn sbmm<number> today hrs <number> hrs cumhrs <number> hrs <number> pony nmdc sn sbmm<number>today <number> hrs cumhrs <number> hrs <number> sstab sn omm<number> today hrs <number> hrs cumhrs <number> hrs bit rev  <number> today krev cum krev  <number> rev
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode top of mishrif  <number>mmd <number> mtvd flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> lovis and <number> hivis at every connection before <number>m pumped <number> bridging sweep every <number> hrs before <number> m no down hole losses lithology  <number> m <number>% limestone recorded mwd survey md <number> m inc <number>¡ã azim <number> at last survey from plan ct ct dist  <number> m below plan  <number> m left of plan  <number> m ct  ct dist from original hole zb <number>  <number> m performed string dt test  <number>m pu wt <number> tons so wt <number> tons rotation wt <number> tons off bottom torque with <number>rpm <number> klbftscr  <number> m mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> high vis bridging pill after every stand drilled flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute made every connection <number> single off bottom no down hole losses lithology  <number> m <number>% limestone
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> high vis bridging pill after every stand drilled flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute made every connection <number> single off bottom no down hole losses lithology  <number> m <number>% limestone recorded mwd survey md <number> m inc <number>¡ã azim <number> at last survey from plan ct ct dist  <number>m below plan  <number> m left of plan  <number> m ct  ct dist from original hole zb <number>  <number> mscr  <number> m mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi performed fire drill good response by crew
Stuck Pipe,npt circulated hole clean pumped <number> m<number> low vis and <number> m<number> hi vis flow rate <number> lpm spp <number> psi surface rpm <number> torque <number> klbft no downhole losses
Stuck Pipe,npt performed wiper trip from <number> m to <number> m pooh free from <number> m to <number> m encountered tight spots  <number> m <number> m <number> m <number> m <number> m with <number> tons overpull back reamed interval <number> m to <number> m <number> m to <number> m pumped out interval <number> m to <number> m <number> m to <number> m <number> m  to <number> m flow rate <number> lpm spp <number> psi rpm <number> torque <number> klbft no downhole loss
Stuck Pipe,npt performed wiper trip  rih from <number> m to <number> m encountered obstruction  <number> m <number> m <number> m <number> m reamed down interval <number> m to <number> m <number> m to <number> m <number> m to <number> m <number> m to <number> m flow rate <number> lpm spp <number> psi surface rpm <number> torque <number> klbft no downhole lossesrotating hrs  <number> jar sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> sstab sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> nmdc sn sbmm<number> today hrs <number> hrs cum hrs <number> hrs <number> pony nmdc sn sbmm<number>today <number> hrs cum hrs <number> hrs <number> sstab sn omm<number> today hrs <number> hrs cum hrs <number> hrs bit rev  <number> today krev cum krev  <number> rev
Stuck Pipe,npt performed wiper trip reamed down from <number> m to <number> m flow rate <number> lpm spp <number> psi surface rpm <number> torque <number> klbft no downhole losss
Stuck Pipe,npt pumped bridge pill pumped <number> high vis bridging pill flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> high vis bridging pill after every stand drilled flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute made every connection <number> single off bottom no down hole losses lithology  <number> m <number>% limestone recorded mwd survey md <number> m inc <number>¡ã azim <number> at last survey from plan ct ct dist  <number> m below plan  <number> m left of plan  <number> mscr  <number> m mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi mp<number>  <number> spm <number> psi <number> spm <number> psi <number> spm <number> psi performed ip drill good response by crew
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> high vis bridging pill after every stand drilled flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute made every connection <number> single off bottom no down hole losses lithology  <number> m <number>% limestone recorded mwd survey md <number> m inc <number>¡ã azim <number> recorded mwd survey md <number> m inc <number>¡ã azim <number> at last survey from plan ct ct dist  <number> m below plan  <number> m left of plan  <number> m
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> high vis bridging pill after every stand drilled flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute made every connection <number> single off bottom no down hole losses lithology  <number> m <number>% limestonerotating hrs  <number> jar sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> sstab sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> nmdc sn sbmm<number> today hrs <number> hrs cum hrs <number> hrs <number> pony nmdc sn sbmm<number>today hrs <number> hrs cum hrs <number> hrs <number> sstab sn omm<number> today hrs <number> hrs cum hrs <number> hrs bit rev  <number> today krev cum krev  <number> rev
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop  <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> high vis bridging pill after every stand drilled flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute made every connection <number> single off bottom no down hole losses top of rumaila  <number>m
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop  <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> high vis bridging pill after every stand drilled flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute made every connection <number> single off bottom no down hole losses lithology  <number> m <number>% limestone
Stuck Pipe,npt sidetrack drilled <number> hole from <number> m to <number> m well td in rotary mode flow rate <number> lpm spp <number> psi wob <number> ton downhole rpm <number> sur rpm <number> torque <number> klbft avg rop <number> mhr ob rop  <number> mhrxxunitmwin <number> sgxxunitmwout <number> sg pumped <number> high vis bridging pill after every stand drilled flow rate of bridging sweep out of bit  <number> lpm and surface rpm  <number> string pu speed  <number> mminute made every connection <number> single off bottom no down hole losses lithology  <number> m <number>% limestone recorded mwd survey md <number> m inc <number>¡ã azim <number> at last survey from plan ct ct dist  <number> m below plan  <number> m left of plan  <number> m
Stuck Pipe,npt pumped <number> high vis bridging sweep and circulated <number> bottom up pumped <number> m<number> high vis bridging sweep circulated <number> bottoms up prior to wiper trip flow rate  <number> lpm spp  <number> psi  down hole rpm  <number> surface rpm   <number> torque  <number>xxunitkftlb no down hole loss
Stuck Pipe, performed wiper trip from <number> m to <number> m <number> casing shoe performed flow check hole static performed wiper trip from <number> m to <number> m observed tight spots  <number> m <number> m <number>m <number> m <number> m <number> m with <number> tons overpull back reamed interval <number> m to <number> m  <number> m to <number> m pumped out interval <number> m to <number> m <number> m to <number> m <number> m to <number> m <number> m to <number> m <number> m to <number> m flow rate <number> lpm spp <number> psi rpm <number> torque <number>klbft pooh free from <number> m to <number> m theoretical displacement <number> m<number> actual fill up <number> m<number> no downhole losses kick drill while tripping response time  <number>minute
Other, serviced tds serviced tds performed flow check hole static
Stuck Pipe, performed wiper trip  rih from <number> m to <number> m observed tight spot  <number> m reamed down from <number> m to <number> m flow rate <number> lpm spp <number> psi rpm <number> surfcae rpm <number> torque <number> klbft theoretical displacement <number> m<number> actual displacement <number> m<number> no downhole lossesrotating hrs  <number> jar sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> sstab sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> nmdc sn sbmm<number> today hrs <number> hrs cum hrs <number> hrs <number> pony nmdc sn sbmm<number>today hrs <number> hrs cum hrs <number> hrs <number> sstab sn omm<number> today hrs <number> hrs cum hrs <number> hrs bit rev  <number> today krev cum krev  <number> rev
Other,  performed wiper trip rih free from <number> m to <number> m on elevator encountered obstruction  <number> m with <number> tons slack off weight mu tds when reamed down from <number> m to <number> m torque increased from <number> kftlbs to <number> kftlbs spp increase from <number> psi to <number> psi tds stalled attempted to rotate and work pipe free failed drill string stuck
Stuck Pipe,npt worked to free drill string pu string with <number> tons to jarring up for many times no success jar stopped working from <number>hrs torque up string to max <number> kftlbs no success pu string with <number> tons no success in mean time prepared <number> m<number> cocktail pill high vis bridging sweep with caco<number>  <number> kgm<number>  asphsol  <number> kgm<number>   mixiif <number> kgm<number>  lub  xls  <number>% held with torque <number> kftlbs and <number> mtneutral rotating weight spotted <number> m<number> cocktail pill pipe free when cocktail pill in  annulus down hole loss <number> m<number>
Stuck Pipe,npt circulated bottoms up circulated bottoms up flow rate <number> lpm spp <number> psi downhole rpm <number> sur rpm <number> torque <number> klbft no down hole loss
Stuck Pipe,npt pooh with directional bha backreamed from <number> m to <number> m flow rate <number> lpm spp <number> psi downhole rpm <number> sur rpm <number> torque <number> klbft no down hole losses
Stuck Pipe,npt pooh with directional bha pumped out from <number> m to <number> m flow rate <number> lpm spp <number> psi downhole rpm <number> no down hole losses
Stuck Pipe,npt flow check at casing shoe   during pulled out observed <number> mt  tight spot in side casing tried to clear by reciprocation no success suspected cutting accumulation inside casing or bit and stabiliser balled up
Stuck Pipe, npt run in back one stand for circulation in open hole pumped <number> m<number> high vis circulated till shaker clean flow rate <number>  <number> lpm spp  <number>  <number> psi rpm  <number> torque  <number>xxunitkftlb observed cuttings at shaker pumped <number> m<number> antiballing pill <number>% caustic soda  nut plug m  <number>% to clean bit and stabilisers no downhole loss performed h<number>s drill good response by crew
Stuck Pipe,npt pooh with <number> directional bha from <number> m to <number> m top of bha performed flow check  well static  pooh from <number> m to <number> m theoretical displacement <number> m<number> actual filled up <number> m<number>
Stuck Pipe,npt pooh from <number> m to surface and ld <number> directional bha  performed flow check  well static  ld <number> hwdp <number> drilling jar cross over <number> sstab <number> nmdc telescope <number> pony nmdc <number> sstab float sub mud motor <number> bit theoretical displacement <number> m<number> actual filled up <number> m<number> observed one junk slot of <number> stabilizer and one junk slot of <number> stabilizer were blocked by cuttings observed bit balled up except one junk slot gap of the mud motor <number> mm bit dull grading <number>ctsxibutd
Stuck Pipe,npt pu and mu wiper trip bha pdc bit <number> msi <number>laspx sn je<number>  <number> near bit stab w float valve sn <number>h  <number> x <number> dc  <number> roller reamer sn <number>  <number> x  <number> dc  <number> roller reamer sn <number>  xo  <number>x <number> hwdp jar sn <number>h <number>x <number> hwdp rih to <number> m theoretical displacement <number> m<number> actual displacement <number> m<number>
Stuck Pipe,npt continued rih <number> dp std from <number> m to <number> m filled up string  <number> m <number> m <number> m theoretical displacement <number> m<number> actual displacement <number> m<number>
Other, serviced tds
Stuck Pipe, npt rih from <number>m to <number>m continued rih <number> dp std free from <number> m to <number> mtheoritcal disp <number> m<number> actula dsp <number> m<number> filled string at <number> m <number> m washed and reamed down from <number> m to <number>m rih <number> dp std free from <number> m to <number> m theoritcal disp <number> m<number> actula dsp <number> m<number> pumped <number> m<number> low vis and <number> m<number> high vis washed  reamed down from  <number> m to <number> m rih <number> dp std free from <number> m to <number> m theoritcal disp<number> m<number> actula dsp<number> m<number> washed and reamed down from <number> m to <number> m td flow rate <number> lpm spp <number> psi no down hole losses
Other, circulation prior to pooh for wireline log pumped <number> low vis  and <number> m<number> hi vis bridging pill  circulated <number> bottoms up prior to pooh flow rate  <number> lpm spp  <number> psi rpm  <number> torque  <number>xxunitkftlb no down hole losses performed spill drill good response by crew
Other, spotted <number> m<number> high vis pill to cover entire open hole flow rate  <number> lpm spp  <number> psi rpm  <number> torque  <number>xxunitkftlb no down hole losses
Other, pooh on elevator from <number> m to <number> m  <number> casing shoe  <number> m performed flow check well static pooh free from <number> m to <number> m on elevator theoretical displacement <number> m<number> actual filled up <number> m<number> no down hole losses during pooh measured dp stands in derrick
Other, circulated to clean the hole pumped <number> m<number> low vis and <number> m<number> high vis circulated to clean the hole flow rate <number> lpm spp  <number>  <number> psi rpm  <number> torque  <number>xxunitkftlb no down hole losses
Other, continued circulation <number> bottoms up till shaker clean flow rate <number> lpm spp  <number>  <number> psi rpm  <number> torque  <number> kftlb observed cuttings at shaker no down hole losses
Other, continued pooh from <number> m to <number> m top of bha performed flow check well static theoretical displacement <number> m<number> actual filled up <number> m<number> no down hole losses during pooh measured dp stands in derrick
Other,pooh from <number> m to surface  bha  racked back jar with hwdps reamers and nbs with <number> dcs theoretical displacement <number> m<number> actual filled up <number> m<number> difference in drill string measurement  <number>m
Other, ru wireline equipment and  tools at surface prepared run<number> wire line tool pex  gr  ss hrlappc monitored well with trip tank and gss no downhole loss
Other, pjsm prior to wireline logs monitored well with trip tank and gss no downhole loss
Other, wireline tool calibration and source load monitored well with trip tank and gss no downhole loss
Other, rih wireline log tool run <number> logging tool got obstruction at <number>m continued work on logging tool to pass obstruction no success monitored well with trip tank and gss no downhole loss
Loss circulation,after makingxxunitaconnection <number>m observed no returns pumping at <number>gpm stopped pumping and checked line
Loss circulation,reamed ooh from <number>m to <number>m above toc <number>rpm <number>gpm without returns torque progressively 
Loss circulation,at <number>m pumped at <number>gpm and confirmed circulation possible increased parameters to <number>gpm and 
Other,flow checked and pooh to <number>m laid down jar and <number>  <number> dc's on way out of hole removed ra sources 
Other,continued to remove ra sources downloaded sadn and arc tools while breaking down two dc's on aux 
Other,installedxxunitasingle on top of slb toolsxxunitinorder to rack backxxunitinderrick hydroracker unable to pick up monels
Other,made up bha <number> <number> and rih from surface to <number>m
Other,reamed from <number>m and confirmed top of cement sheath at <number>m 
Other,drilled cement sheath from <number>m to <number>m reamed section drilled
Other,flow checked and confirmed no losses made connection at <number>m
Other,continued drilling cement sheath from <number>m to <number>m with <number>gpm pumped <number>bbl's hivis and displaced above bha 
Other,reamed through rat hole and cleaned out drilled <number> hole from <number>m to <number>m observed no losses 
Loss circulation,lost returns while drilling at <number>m reduced pump rate and pooh from <number>m to <number>m flow checked well
Loss circulation,pumped down booster linexxunitinorder to clean riser of cement cuttings  <number>gpm with no losses  
Loss circulation,attempted to circulate and establish parameters pump pressure fluctuating and kelly hose jumping shut 
Loss circulation,reamed from <number>m to <number>m with no problems pumped <number> bbl's hivis using only one pump <number>gpm
Loss circulation,established circulation with <number>gpm and confirmed returns and no losses increased circulating ratexxunitinstages 
Other,continued to establish parameters and increase circulating rate to <number>gpm no losses while circulating
Other,reamed from <number>m to <number>m unable to pass <number>m max wob <number>k <number> rpm reduced rpm to <number> and
Other,reamed from <number>m to <number>m with reduced parameters <number>gpm <number>rpm no losses
Other,drilled from <number>m to <number>m <number>rpm observed losses at <number>gpm picked up to <number>m and established 
Other,reamed to <number>m pumped <number>bbl's lcm pill and spotted into <number> hole pulled back to <number>m 
Other,pooh from <number>m to surface laid down two dc's and jar on way ooh gauge row of bit balled <number> nozzle 
Other,slipped and cut  <number>m of drilling line <number>hrs allowed as per contract
Other,continued with slip and cut observed damage on drawworks drill line keeper plate threads stripped retapped threads
Other,made up <number> pilot hole bha to <number>m programmed tools and installed ra source ocdr starts at <number>
Other,continued to rih with pilot hole bha from <number>m to <number>m surface tested tools at <number>m and confirmed ok
Other,filled dp and broke circulation <number>gpm  <number>psi pressure fluctuating  <number>psi checked pressures and flow rates
Other,rih with bha <number> from <number>m to <number>m
Other,made up tds and established circulation mwd turbine indicating rig pump output not as per console readout 
Loss circulation,washed from <number>m to <number>m  <number>gpm mwd reading at <number>m observed losses picked up to <number>m and 
Loss circulation,unable to establish full returns cut pump ratexxunitinstages down to <number>gpm  loss rate  <number> bbl'shr
Loss circulation,monitored well on trip tank loss rate  <number> bbl'shr
Loss circulation,pumped <number>bbl's lcm and displaced out of bit pulled back to <number>m and put well on tt confirmed zero losses 
Loss circulation,prepared for cutting mud weigh to <number>ppg transferred mud from pits into reserve 
